qa_id,year_context,question_type,question,answer,answer_type,difficulty,verified_datapoint,source,topic_tags
QA011,2023,Factual - Commercial,In 2023 what sector for the first time overtook Technology in Bengaluru's office leasing share?,"In 2023, Engineering and Manufacturing (E&M) sector occupiers captured a 26 per cent share of Bengaluru's office leasing, surpassing the Technology sector's 22 per cent share — marking the first time E&M overtook IT/Tech in Bengaluru's traditionally tech-dominated office market. This shift was noted in Colliers India's Q4 2023 press release on 24 December 2023, which observed that the IT sector's share had rationalised from over 40 per cent in earlier years, while BFSI and E&M grew significantly.",Factual - Sectoral Shift,Hard,YES,"Colliers India Press Release 24 December 2023","commercial, office, E&M, technology, sector, 2023, Colliers"
QA012,2023,Factual - Quantitative,What were India's total residential unit sales in 2023 and how did Bengaluru's launch volume compare?,"India's top-seven cities recorded approximately 4,76,530 units of residential sales in 2023 — a 31 per cent year-on-year increase and an all-time high — according to ANAROCK. Separately, Knight Frank's top-8 city universe showed sales of 3,29,097 units in 2023 at a ten-year high. Bengaluru's residential launches grew 18 per cent in 2023 according to Knight Frank (cited in Brickwork Research), the second-highest city-wise growth rate after Kolkata. New launches across India's top-8 cities reached 3,50,746 units in 2023, also a ten-year peak.",Pan-India + Bengaluru Context,Medium,YES,"ANAROCK December 2023; Knight Frank annual 2023; Brickwork Research July 2024","residential, sales, 2023, all-time high, India, Bengaluru, Knight Frank, ANAROCK"
QA013,2024,Factual - Infrastructure,When did the Namma Metro Yellow Line become fully operational and what was its effect on property prices?,"The Namma Metro Yellow Line's 19-kilometre route from Rashtreeya Vidyalaya (RV) Road to Bommasandra via Electronic City became fully operational with all 16 stations in service on 10-11 August 2024. Following commissioning, property prices along the Electronic City and Kanakapura Road corridors appreciated by 8-12 per cent. NoBroker's January 2026 real estate trends article confirmed Kanakapura Road as an investment hotspot with property rates of INR 7,000-14,000 per sq ft and rental of up to INR 35,000 per month. Train frequency improved to approximately every 10 minutes during peak hours by early 2026.",Factual + Causal,Medium,YES,"BMRCL commissioning; NoBroker January 2026 article; Casagrand blog","Yellow Line, BMRCL, Namma Metro, Electronic City, Kanakapura Road, August 2024"
QA014,2024,Factual - Quantitative,What were Bengaluru's residential launch and sales volumes in 2024 and which zone dominated?,"Bengaluru's residential market recorded 71,000 new unit launches in 2024 — a 30 per cent year-on-year growth from 2023 — and 65,200 unit sales, a modest 2 per cent increase year-on-year, according to ANAROCK's Indian Residential Real Estate Annual Report 2024. East Bengaluru was the dominant zone, accounting for 48 per cent of launches (33,900 units) and 50 per cent of total sales (32,900 units). North Bengaluru showed the strongest year-on-year launch growth at 56 per cent. In budget terms, the high-end segment (INR 80 lakh–1.5 crore) captured the largest launch share at 39 per cent.",Multi-Metric Factual,Hard,YES,"ANAROCK Indian Residential Real Estate Annual Report 2024","residential, launches, sales, 2024, East Bengaluru, North Bengaluru, ANAROCK"
QA015,2024,Factual - Commercial,What was Bengaluru's office net absorption in 2024 and how did it rank among Indian cities?,"Bengaluru recorded 14.74 MSF of net office leasing activity in 2024 according to JLL, a 66 per cent increase from 9.01 MSF in 2023, making it the highest-ever annual absorption for the city. Cushman & Wakefield's data placed Bengaluru's net absorption at 14.18 MSF (28 per cent of India's total). Bengaluru led all Indian cities, followed by Mumbai at 10.93 MSF and Hyderabad at 8.18 MSF (CW data). India's total gross leasing volume across top-7 cities was 77.22 MSF in 2024 (JLL), while the top-8 city GLV was 89 MSF (CW) — both highest ever.",Multi-Source Quantitative,Hard,YES,"JLL Press Release 3 January 2025; Cushman & Wakefield Press Release 22 January 2025","commercial, office, absorption, 2024, record, Bengaluru, JLL, Cushman"
QA016,2024,Factual - Commercial,How large were GCC and flex workspace segments in India's office market in 2024?,"Global Capability Centres captured 35.9 per cent of India's total office leasing market in 2024, leasing approximately 28 MSF across the top-7 cities (JLL). GCC leasing grew 41 per cent year-on-year to 25.7 MSF across the top-6 cities (Colliers). The flex office segment surged 50 per cent year-on-year, with leasing crossing 15 MSF in 2024 — accounting for 19.8 per cent of total annual leasing, its highest-ever share (JLL). Bengaluru and Hyderabad were the preferred GCC hubs, with US-headquartered technology and BFSI firms driving approximately 70 per cent of GCC demand.",Multi-Metric Commercial,Hard,YES,"JLL 2024 annual; Colliers 2025 GCC forecast; IBEF GCC report","GCC, flex, office, 2024, India, Bengaluru, JLL, Colliers"
QA017,2025,Factual - Quantitative,What did Knight Frank's H1 2025 data reveal about Bengaluru's residential launches and sales?,"Knight Frank's India Real Estate H1 2025 report (published July 2025) showed Bengaluru recorded 33,498 residential unit launches in the first half of 2025, the highest in recent history and 31 per cent above H1 2024 — the strongest city-wise launch growth in India. Bengaluru contributed 19 per cent of all-India new residential launches, behind only Mumbai (25 per cent). However, overall sales saw a modest 3 per cent year-on-year dip to 26,599 units in H1 2025. Homes priced INR 1-2 crore accounted for 47 per cent of total sales, with the INR 2-5 crore bracket at 24 per cent — together representing 79 per cent of all sales.",Multi-Metric Factual,Hard,YES,"Knight Frank India Real Estate H1 2025 (cited in booknewproperty.com article 4 July 2025); GlobalPropertyGuide","residential, launches, sales, H1 2025, Knight Frank, premium, segmentation"
QA018,2025,Factual - Quantitative,What were Bengaluru's residential unit sales in Q3 2025 and the January–September 2025 cumulative?,"PropEquity estimated Bengaluru's residential sales at 16,840 units in Q3 2025 (July–September), a 21 per cent year-on-year increase from 13,966 units in Q3 2024. Cumulatively, sales for January–September 2025 were estimated at 49,559 units versus 46,392 units in the same period of 2024, representing a year-on-year gain of approximately 7 per cent. Developers were optimistic about a festive-season Q4 2025 uptick. India's top-nine cities were however expected to see a 4 per cent aggregate decline in Q3 2025 sales, primarily due to weaker markets in Mumbai and Pune.",Exact Figures,Medium,YES,"PropEquity cited in Business Standard 28 September 2025","residential, sales, Q3 2025, PropEquity, January-September 2025"
QA019,2025,Factual - Pricing,What has been the five-year residential price appreciation in Bengaluru from 2020 to 2025?,"Bengaluru residential property prices rose from approximately INR 4,700 per square foot in Q2 2020 to INR 8,720 per square foot in Q2 2025 — an appreciation of approximately 79-85 per cent over five years, according to Casagrand and NoBroker data. This makes Bengaluru the top-appreciating residential market among India's major metropolitan cities over this period, surpassing Delhi, Mumbai and Kolkata. ANAROCK's Q3 2025 data placed Bengaluru's average price at INR 8,870 per sq ft, representing 10 per cent year-on-year growth. Knight Frank's 2025 data showed Bengaluru leading all cities at 14 per cent annual price appreciation.",Pricing Appreciation,Medium,YES,"Casagrand blog Nov 2025; ANAROCK Q3 2025; Knight Frank H1 2025; GlobalPropertyGuide 2025","pricing, appreciation, 2020-2025, 5-year, INR, Casagrand"
QA020,2025,Factual - Commercial,What did Cushman & Wakefield report about India's office market and Bengaluru in 2025?,"Cushman & Wakefield's January 2026 report on the India office market stated that India recorded a historic net absorption of 61 MSF in 2025, up 25 per cent year-on-year, making it the highest-ever annual net absorption for the country. Bengaluru contributed the largest share of this national total. In Q4 2025 specifically, Bengaluru recorded a gross leasing volume of approximately 7.6 MSF — the second-highest quarterly performance ever for the city. Bengaluru's Grade-A occupancy stood at approximately 90.8 per cent as of September 2025 per JLL/ICRA. ICRA forecast Bengaluru's net absorption at 16-16.5 MSF in FY2026.",Quantitative Annual Review,Medium,YES,"Cushman & Wakefield MarketBeat January 2026; JLL; ICRA; bangaloreproperties.com December 2025","commercial, office, 2025, Cushman & Wakefield, 61 MSF, India record, Q4 GLV"
QA021,2025,Analytical - Rental Market,How have Bengaluru residential rental trends evolved from 2023 to 2025?,"After witnessing a strong surge of 20-30 per cent in residential rentals during 2023-24, Bengaluru's rental market experienced a stabilisation phase from 2025. NoBroker reported that average rental inflation across Bengaluru in H1 2025 was 7-9 per cent, a significant moderation from the prior cycle, driven by increased housing supply and improving infrastructure creating more balanced demand-supply dynamics. However, North Bengaluru micro-markets including Devanahalli, Bagalur and Nelamangala continued to command 20-25 per cent expected rental appreciation due to proximity to employment hubs and major commercial setups. Kanakapura Road rental ceilings reached INR 35,000 per month post-Yellow Line commissioning.",Trend Analysis,Hard,YES,"NoBroker (cited in Economic Times); Hindustan Times Real Estate Outlook 2025; NoBroker 2026 article","rental, 2023-2025, NoBroker, moderation, North Bengaluru, Kanakapura Road"
QA022,2026,Analytical - Outlook,What is the commercial office outlook for Bengaluru in 2026 according to ICRA?,"ICRA estimates Bengaluru's Grade-A office stock at approximately 263 MSF — roughly 27 per cent of India's total across the top-six markets. For FY2026 (April 2025-March 2026), ICRA forecasts net absorption of 16-16.5 MSF for Bengaluru with occupancy expected to rise to 89-89.5 per cent by March 2026. Average office rentals are projected to grow 3-4 per cent annually in FY2025 and FY2026, with JLL projecting CBD rents growing at 6-7 per cent per year and strong increases in Whitefield and ORR micro-markets. Vacancy is expected to stay in single digits through FY2027, supported by GCC expansion. National office absorption projections for 2026 are 60-70 MSF across top cities.",Forward Outlook,Hard,YES,"ICRA; JLL; bangaloreproperties.com December 2025","commercial, office, 2026, ICRA, Grade-A, vacancy, rental growth"
QA023,2020,Analytical - Impact,How did COVID-19 affect Bengaluru's delayed residential projects under RERA?,"COVID-19 had a significant impact on real estate project delivery timelines in Bengaluru. During the first wave in 2020, RERA Karnataka recorded approximately 20 delayed projects. By mid-2021 following the second wave, this number escalated sharply to 60 delayed projects involving approximately 29,850 units worth over INR 22,276 crore according to ANAROCK. Construction labour migration, material supply disruption and liquidity constraints were the primary causes. RERA Karnataka subsequently launched dedicated enforcement drives including a special cell for builder dues recovery, which contributed to a 30 per cent decline in new complaints by Q4 2023.",Impact Analysis,Hard,YES,"ANAROCK; RERA Karnataka; NoBroker 2026 article (special cell for dues recovery)","RERA, delayed projects, COVID, 2020-2021, enforcement, compliance"
QA024,Multiple,Analytical - Segmentation,How has the budget segmentation of Bengaluru residential demand changed from 2020 to 2025?,"The budget mix of Bengaluru's residential market has shifted dramatically over 2020-2025. In 2020, over 87 per cent of new supply was in the sub-INR 80 lakh category (ANAROCK Q1 2020 data). By 2024, the high-end segment (INR 80 lakh–1.5 crore) captured the largest share at 39 per cent of new launches, followed by luxury (INR 1.5-2.5 crore) at 24 per cent; the mid-end at 27 per cent; and the affordable segment at just 8 per cent (ANAROCK 2024 Annual Report). By H1 2025, homes priced INR 1-5 crore together represented 79 per cent of all Bengaluru residential sales (Knight Frank H1 2025). In Q2 2025, luxury dominated new supply at 56 per cent of launches with zero affordable launches.",Segmentation Evolution,Hard,YES,"ANAROCK Q1 2020; ANAROCK Annual Report 2024; Knight Frank H1 2025; ANAROCK Q2 2025","segmentation, affordable, luxury, premium, 2020-2025, market shift"
QA025,Multiple,Analytical - Infrastructure,What metro infrastructure was built in Bengaluru between 2020 and 2026 and what property effect did each have?,"Three major metro milestones shaped Bengaluru's property market between 2020-2026. First, the Namma Metro Purple Line extension to Whitefield was completed in early 2023, triggering approximately 20 per cent year-on-year property appreciation in Whitefield and absorption of approximately 12,900 residential units in the corridor during 2023. Second, the 19-km Yellow Line from RV Road to Bommasandra via Electronic City became fully operational on 10-11 August 2024, driving 8-12 per cent appreciation along Electronic City and Kanakapura Road corridors; Kanakapura Road prices reached INR 7,000-14,000 per sq ft by 2025-26. Third, Metro Phase 3 — including a Hebbal-Airport HSR corridor and Bannerghatta extension targeting 314 km by 2030 — was approved in early 2026, generating forward appreciation sentiment in North Bengaluru and Bannerghatta Road.",Multi-Event Infrastructure,Hard,YES,"BMRCL; NoBroker 2026 article; broker reports; PropSoch; Karnataka government approval","Namma Metro, Purple Line, Yellow Line, Phase 3, infrastructure, appreciation, BMRCL"
