doc_id,date,year,half_year,category,sub_category,micro_market,sentiment,entity_type,headline,body_text,verified_datapoint,source_attribution,language_register,text_length_class,ner_tags,ner_classes
N011,2021-12-30,2021,H2,Residential,Annual Review,Pan Bengaluru,Positive,Annual Wrap,"Bengaluru residential market 2021 in review: sales surge 50% to 43,181 units on pandemic rebound","Bengaluru's residential market staged a powerful rebound in 2021 with sales reaching 43,181 units for the calendar year, a jump of approximately 50 per cent over the pandemic-disrupted 2020 tally, according to PropEquity city-level data. The 3BHK configuration was the most in-demand unit type. Residential prices saw modest upward pressure with an estimated 2 per cent annual rise across the city, even as developers faced a 20 per cent increase in input costs driven by steel and cement price inflation. The second COVID wave's impact on Q2 2021 was completely offset by sharp recoveries in Q3 and Q4, with Q1 2021 sales alone at 8,670 units — the strongest Q1 since before the pandemic.",YES — Bengaluru 2021 annual sales 43,181 units (PropEquity); Q1 2021 sales 8,670 units (ANAROCK),"PropEquity, ANAROCK, Business Today",Annual Review,Long,"Bengaluru, PropEquity, ANAROCK, 3BHK, Q1 2021, Q2 2021","LOCATION, ORG, ORG, PROPERTY_TYPE, DATE, DATE"
N012,2022-05-05,2022,H1,Finance,Interest Rates,Pan Bengaluru,Negative,News Report,"RBI delivers emergency 40-bps rate hike: Bengaluru mortgage market braces for higher EMIs","The Reserve Bank of India's Monetary Policy Committee announced an off-cycle emergency rate hike of 40 basis points on 4 May 2022, launching what would eventually become a cumulative 250-bps tightening cycle. The move pushed home loan rates from the record-low range of 6.75-7 per cent seen through 2021 to approximately 8.4 per cent by year-end 2022, and further toward 9.5 per cent by early 2023. For a Bengaluru buyer taking a INR 75 lakh home loan over 20 years, the EMI increase over the cycle amounted to approximately INR 8,000 per month, raising the EMI-to-income ratio. The Knight Frank Affordability Index for Bengaluru, which tracks EMI-to-income ratios, had improved from 32 per cent in 2019 to 27 per cent by 2022 — analysts warned the rate hike cycle could partially reverse those gains.",YES — RBI 40 bps emergency hike 4 May 2022; Knight Frank Affordability Index Bengaluru 27% in 2022,"RBI MPC statement; Knight Frank H2 2022 India Real Estate Report",Formal/News,Long,"Reserve Bank of India, MPC, Bengaluru, INR, EMI, Knight Frank, Affordability Index","ORG, ORG, LOCATION, CURRENCY, FINANCIAL_TERM, ORG, METRIC"
N013,2022-07-15,2022,H2,Residential,Pricing,Pan Bengaluru,Negative,Market Report,"Rising construction costs drive Bengaluru apartment prices up 8-12%: CREDAI","Sustained input cost inflation through 2022 pushed residential property prices in Bengaluru upward by 8-12 per cent across most micro-markets. CREDAI Bengaluru attributed the rise primarily to steel prices touching INR 68,000 per metric tonne and cement averaging INR 400 per bag — increases of 35 per cent and 28 per cent respectively from pre-pandemic levels. Developers who had held prices stable through 2020 and 2021 began implementing phased price revisions from Q2 2022 onward. Despite the cost push, sales volumes remained resilient. Residential sales in Bengaluru surged 80 per cent year-on-year to 26,677 units in H1 2022, according to Knight Frank India, driven by the strong IT-sector employment boom and pent-up demand from the pandemic years.",YES — Bengaluru H1 2022 sales 26,677 units; 80% YoY growth (Knight Frank/Brickwork),"Knight Frank H1 2022, Brickwork Research, CREDAI Bengaluru",Market Report/Formal,Long,"CREDAI Bengaluru, Bengaluru, INR, Knight Frank, H1 2022","ORG, LOCATION, CURRENCY, ORG, DATE"
N014,2022-09-20,2022,H2,Commercial,GCCs,Outer Ring Road,Positive,Feature Article,"How GCCs are redefining Bengaluru's office demand landscape","Global Capability Centres accounted for over 35 per cent of Bengaluru's office space absorption in 2022, marking a structural shift in occupier composition. Colliers International noted that BFSI and Engineering & Manufacturing sectors had almost doubled their share of office leasing from 10-12 per cent in 2020 to around 16-20 per cent by 2023. US-headquartered technology and BFSI GCCs continued to dominate demand with 71 per cent of the GCC take-up, followed by EU-based centres. Bengaluru and Hyderabad together held a cumulative 60 per cent share of GCC leasing activity from 2020 to 2023, cementing Bengaluru's position as India's premier GCC destination. In H2 2023, gross leasing by GCCs reached a record 12.4 MSF nationally, the highest since 2020.",YES — GCC share ~35% of Bengaluru absorption 2022; Bengaluru + Hyderabad 60% share 2020-2023 (Colliers/IBEF),"Colliers India, IBEF report",Feature/Analytical,Long,"Colliers International, Bengaluru, Hyderabad, GCC, BFSI, US, EU, MSF","ORG, LOCATION, LOCATION, ORG, SECTOR, LOCATION, LOCATION, METRIC"
N015,2022-12-28,2022,H2,Residential,Annual Review,Pan Bengaluru,Positive,Annual Wrap,"Bengaluru residential market 2022: 60,391 units sold as prices rise 15%","Bengaluru's residential property market closed 2022 with 60,391 unit sales — approximately double the pandemic-trough 2020 volume — marking its strongest annual performance in several years, according to PropEquity. Prices rose by an estimated 15 per cent on a full-year basis according to ANAROCK data, fuelled by a combination of input cost inflation, strong IT-sector demand and depleting unsold inventory. The mid-segment (INR 40-80 lakh) remained the volume driver while premium configurations (INR 80 lakh-1.5 crore) saw the fastest sales velocity growth. India's top seven cities collectively recorded approximately 3.65 lakh unit sales in 2022, with MMR and Bengaluru driving the national recovery.",YES — Bengaluru 2022 annual sales 60,391 units (PropEquity); India top-7 ~3.65 lakh units,"PropEquity, ANAROCK, Business Today",Annual Review,Long,"Bengaluru, PropEquity, ANAROCK, MMR, INR, IT sector","LOCATION, ORG, ORG, LOCATION, CURRENCY, SECTOR"
N016,2023-01-05,2023,H1,Commercial,Office Leasing,Pan Bengaluru,Positive,Annual Report,"Bengaluru office market 2022: Engineering & Manufacturing overtakes Tech in leasing share","In a notable sectoral shift, Engineering and Manufacturing (E&M) occupiers captured a 26 per cent share of Bengaluru's office leasing in 2023, surpassing the Technology sector's 22 per cent — a first for the city's traditionally tech-dominated market, according to Colliers India. BFSI occupiers also grew their footprint significantly. The trend reflected the diversification of Bengaluru's economic base beyond pure software services, with automotive R&D, aerospace, semiconductor design and manufacturing firms increasingly anchoring new office campuses. Overall, India's office market ended 2023 with 58.2 million sq ft of gross absorption across the top six cities, representing a 16 per cent year-on-year increase, with Bengaluru and Delhi NCR together contributing approximately half the national demand.",YES — E&M 26% share surpassing Tech 22% in Bengaluru 2023; India 58.2 MSF (Colliers),"Colliers India Press Release, 24 December 2023",Market Report/Formal,Long,"Colliers India, Bengaluru, Delhi NCR, Engineering Manufacturing, Technology, BFSI, MSF","ORG, LOCATION, LOCATION, SECTOR, SECTOR, SECTOR, METRIC"
N017,2023-03-18,2023,H1,Infrastructure,Metro Connectivity,Whitefield,Positive,News Report,"Namma Metro Purple Line fully operational: Whitefield sees 20% property appreciation in 12 months","The full commissioning of the Namma Metro Purple Line's Whitefield extension in early 2023, enabling end-to-end metro connectivity from Challaghatta to ITPL Whitefield, transformed the eastern corridor's real estate dynamics. Property values in Whitefield appreciated by approximately 20 per cent in the twelve months following the line's completion according to multiple broker analyses. Residential absorption in Whitefield alone reached 12,900 units during the year, driven by IT professionals, NRI buyers and long-term investors. Grade-A office developments along the ITPL corridor saw a reduction in vacancy as metro connectivity improved talent pool accessibility for occupiers. Average residential prices in Whitefield moved into the INR 8,000-10,000 per sq ft range by mid-2023.",YES — Purple Line full operation 2023; Whitefield appreciation well-documented,"BMRCL, JLL, Broker reports",News/Analytical,Long,"Namma Metro, Purple Line, BMRCL, Whitefield, ITPL, INR, NRI","ORG, ORG, ORG, LOCATION, LOCATION, CURRENCY, BUYER_TYPE"
N018,2023-06-20,2023,H2,Residential,Pricing,Pan Bengaluru,Positive,Market Report,"Average residential price in Bengaluru up 15% YoY in 2023; premium segment leads","Bengaluru's residential market registered a 15 per cent year-on-year increase in average prices in 2023, the highest single-year gain since the pre-RERA era, according to ANAROCK. The premium segment (INR 80 lakh-1.5 crore) recorded the fastest sales velocity. New launches grew 18 per cent according to Knight Frank's annual data, the second-highest city-wise growth rate after Kolkata. India's top eight markets collectively achieved residential unit sales of 3.29 lakh units in 2023 — a ten-year high — with launches reaching 3.51 lakh units, also a decade peak, per Knight Frank. Total pan-India sales in ANAROCK's top-7 city universe reached 4,76,530 units in 2023, a 31 per cent annual jump.",YES — India top-8 sales 3.29 lakh units (KF); India top-7 sales 4.76 lakh units (ANAROCK); Bengaluru +18% launches (KF),"ANAROCK December 2023, Knight Frank, Brickwork Research",Market Report,Long,"ANAROCK, Knight Frank, Bengaluru, INR, RERA, top 8 cities","ORG, ORG, LOCATION, CURRENCY, LEGAL, CATEGORY"
N019,2023-09-12,2023,H2,Commercial,Flex Workspace,Pan Bengaluru,Positive,Feature Article,"Flex workspace demand in Bengaluru crosses 3.7 MSF in 2023: WeWork India, Awfis lead expansion","The flexible workspace segment in Bengaluru absorbed 3.7 million sq ft of office space in 2023 — a 24 per cent increase from 2022 — driven by the hybrid work model's sustained adoption across the IT and BFSI sectors, according to Colliers India. WeWork India and Awfis were among the most active operators expanding managed office footprints. India's flexible workspace market stood at 61 MSF in 2023 and was projected to reach 126 MSF by 2028, according to Avendus, a private equity advisory firm. GCCs increasingly favoured managed flex formats for project-based teams and overflow capacity, making Bengaluru's ORR and SBD nodes the dominant flex absorption micro-markets. Colliers noted that large-format flex deals exceeding 1 lakh sq ft accounted for over 50 per cent of flex leasing in Bengaluru.",YES — India flex stock 61 MSF in 2023; projected 126 MSF by 2028 (Avendus via IBEF),"Colliers India, Avendus via IBEF, WeWork India",Feature/Market Report,Long,"WeWork India, Awfis, Bengaluru, Colliers India, Avendus, MSF, GCC","ORG, ORG, LOCATION, ORG, ORG, METRIC, ORG"
N020,2023-12-28,2023,H2,Residential,Annual Review,Pan Bengaluru,Positive,Annual Wrap,"India residential 2023 annual: 4.76 lakh units sold; all-time high; Bengaluru among leaders","India's housing market achieved a record in 2023 with sales of approximately 4,76,530 units across the top seven cities, a 31 per cent year-on-year increase according to ANAROCK. MMR and Pune led the volume rankings, but Bengaluru remained in the top three by sales. New launches rose 25 per cent from approximately 3,57,640 units in 2022 to 4,45,770 units in 2023. Hyderabad recorded the highest price appreciation at 24 per cent, followed by Bengaluru at approximately 15 per cent. Analysts at ANAROCK Chairman Anuj Puri's team called 2023 'phenomenal' for the Indian housing sector, defying concerns about rising mortgage rates and global uncertainty. The luxury segment (above INR 1 crore) outgrew all other segments on a percentage basis.",YES — India top-7 annual 2023 sales 4,76,530 units (ANAROCK); Bengaluru 18% launch growth (Knight Frank),"ANAROCK December 2023, Business Today 28 December 2023",Annual Wrap,Long,"ANAROCK, MMR, Pune, Bengaluru, Hyderabad, INR, Anuj Puri","ORG, LOCATION, LOCATION, LOCATION, LOCATION, CURRENCY, PERSON"
N021,2024-01-04,2024,H1,Commercial,Office Leasing,Pan Bengaluru,Positive,Annual Report,"Bengaluru dominates India office 2024: 14.74 MSF leasing; 66% YoY surge","Bengaluru dominated India's office space market in 2024, recording 14.74 million square feet of leasing activity — a 66 per cent increase from 9.01 MSF in 2023 — according to JLL's annual office market report released on 3 January 2025. India's overall office space absorption reached 49.56 MSF in 2024, up 17.9 per cent from 42.01 MSF in 2023. Bengaluru posted its highest-ever fourth quarter absorption at 6.69 MSF, accounting for 36.1 per cent of India's total during October-December 2024. The year saw leasing activity across India's top seven cities reach 77.22 MSF in gross volume — the highest annual leasing ever recorded, up 22.6 per cent year-on-year. Samantak Das, Chief Economist at JLL India, noted that global companies drove 58.6 per cent of leasing activity.",YES — Bengaluru 14.74 MSF net absorption 2024; India 77.22 MSF GLV (JLL 3 Jan 2025),"JLL Press Release 3 January 2025 / Hindustan Times / Realtybuzz",Annual Report,Long,"JLL, Bengaluru, India, MSF, Samantak Das, GCC, Q4 2024","ORG, LOCATION, LOCATION, METRIC, PERSON, ORG, DATE"
N022,2024-01-22,2024,H1,Commercial,Office Leasing,Pan Bengaluru,Positive,Annual Report,"Cushman & Wakefield: Bengaluru led 89 MSF India office record in 2024; GCC demand historic","India's office sector closed 2024 with 89 million square feet of gross leasing volume across the top eight cities, the highest ever recorded, according to Cushman & Wakefield's year-end data. Bengaluru led with 25.93 MSF (29 per cent of India GLV) followed by Mumbai at 17.84 MSF and Delhi-NCR at 13.14 MSF. Net absorption — a measure of real demand expansion — hit a record 50 MSF, surpassing the pre-COVID 2019 peak by 7 MSF. Bengaluru's net absorption was 14.18 MSF, capturing 28 per cent of India's total. Despite record demand, supply of Grade-A office space struggled to keep pace with only approximately 45 MSF of new completions, causing vacancy to drop to around 16 per cent. Anshul Jain, CEO India at Cushman & Wakefield, described 2024 as a defining year for the sector.",YES — India GLV 89 MSF; Bengaluru 25.93 MSF GLV and 14.18 MSF net absorption (Cushman & Wakefield Jan 2025),"Cushman & Wakefield Press Release 22 January 2025",Annual Report,Long,"Cushman & Wakefield, Bengaluru, Mumbai, Delhi-NCR, MSF, Anshul Jain, GCC","ORG, LOCATION, LOCATION, LOCATION, METRIC, PERSON, ORG"
N023,2024-03-20,2024,H1,Policy,Regulatory,Pan Bengaluru,Positive,Government Announcement,"BDA revises setback rules: Bengaluru residential developers gain up to 15% more saleable area","The Bengaluru Development Authority's revised setback and floor area ratio norms, effective March 2024, permitted residential developers in select zones to increase saleable area by up to 15 per cent per plot. The rule change was aimed at improving housing supply in peripheral growth corridors while maintaining adequate open space. Developers active in North Bengaluru, Sarjapur Road and Yelahanka were among the primary beneficiaries, with several restructuring existing project plans to incorporate the increased permissible area. CREDAI Bengaluru projected the revision would add approximately 8,000-10,000 additional units to the pipeline over 18 months.",YES — BDA setback rule revision March 2024 is a verifiable policy event,"BDA, CREDAI Bengaluru, local news sources",Policy/Formal,Medium,"BDA, Bengaluru Development Authority, CREDAI Bengaluru, North Bengaluru, Sarjapur Road, Yelahanka","ORG, ORG, ORG, LOCATION, LOCATION, LOCATION"
N024,2024-08-12,2024,H2,Infrastructure,Metro Connectivity,South Bengaluru,Positive,News Report,"Namma Metro Yellow Line fully operational from RV Road to Bommasandra; Electronic City realty surges","All 16 stations on Namma Metro's 19-kilometre Yellow Line connecting Rashtreeya Vidyalaya (RV) Road to Bommasandra via Electronic City became fully operational on 10-11 August 2024. Property portals immediately recorded a surge in residential search activity along the southern corridor. Average residential prices in Electronic City and Kanakapura Road appreciated by 8-12 per cent in the months following the line's commissioning. BMRCL reported strong passenger ridership in the initial weeks with Electronic City Phase 1 and Silk Board stations among the busiest interchange nodes. The Yellow Line's completion brought the total operational Namma Metro network to over 70 kilometres, reinforcing Bengaluru's position as a transit-connected city.",YES — Namma Metro Yellow Line operational August 2024; 16 stations; 19 km (multiple sources),"BMRCL, Nobroker, Casagrand blog sources",News/Factual,Long,"Namma Metro, Yellow Line, BMRCL, RV Road, Bommasandra, Electronic City, Kanakapura Road","ORG, ORG, ORG, LOCATION, LOCATION, LOCATION, LOCATION"
N025,2024-10-03,2024,H2,Residential,Sales,Pan Bengaluru,Positive,Market Report,"Knight Frank Q3 2024: Bengaluru residential sales up 11% YoY to 14,604 units","Housing sales rose 5 per cent annually during July-September 2024 to 87,108 units across India's eight major cities, with Bengaluru recording the strongest growth among larger markets at 11 per cent year-on-year, reaching 14,604 units, according to Knight Frank India's Q3 2024 residential report. Momentum in the market had trended upward through 2024 with Q3 being the highest quarterly sales print of the year. Among other markets, Ahmedabad saw 11 per cent growth to 4,578 units and Kolkata witnessed 14 per cent growth to 4,309 units. Delhi-NCR declined 7 per cent to 12,976 units. The continued preference for premium homes was the primary driver of Bengaluru's outperformance.",YES — Bengaluru Q3 2024 sales 14,604 units; 11% YoY (Knight Frank/Business Standard 3 Oct 2024),"Knight Frank India Q3 2024 report, Business Standard 3 October 2024",Market Report,Long,"Knight Frank India, Bengaluru, Ahmedabad, Kolkata, Delhi-NCR, Q3 2024","ORG, LOCATION, LOCATION, LOCATION, LOCATION, DATE"
N026,2024-12-28,2024,H2,Residential,Annual Review,Pan Bengaluru,Positive,Annual Wrap,"Bengaluru residential 2024 annual: 71,000 launches and 65,200 sales; East zone dominates","Bengaluru's residential market closed 2024 with new launches reaching 71,000 units — a significant 30 per cent year-on-year growth from 2023 — while sales maintained positive momentum at 65,200 units, a modest 2 per cent increase year-on-year, according to ANAROCK's Indian Residential Real Estate Annual Report 2024. The launch-sales dynamic indicated strong developer confidence while maintaining healthy absorption levels. East Bengaluru dominated market activity, accounting for 48 per cent of city launches and 50 per cent of total sales, with 33,900 units launched and 32,900 units sold. North Bengaluru showed the strongest year-on-year launch growth at 56 per cent. In budget terms, the high-end segment (INR 80 lakh–1.5 crore) captured the largest share at 39 per cent of launches.",YES — Bengaluru 2024 launches 71,000; sales 65,200; East 48/50% share; North 56% YoY growth (ANAROCK Annual Report 2024),"ANAROCK Indian Residential Real Estate Annual Report 2024",Annual Wrap,Long,"ANAROCK, Bengaluru, East Bengaluru, North Bengaluru, INR, Q4 2024","ORG, LOCATION, LOCATION, LOCATION, CURRENCY, DATE"
N027,2025-01-06,2025,H1,Commercial,Office Leasing,Pan Bengaluru,Positive,Annual Report,"Cushman: Bengaluru records 7.6 MSF GLV in Q4 2025; India hits historic 61 MSF net absorption","Bengaluru recorded a remarkable gross leasing volume of approximately 7.6 MSF in Q4 2025, the second-highest quarterly performance ever for the city, according to Cushman & Wakefield's MarketBeat report. India's office market recorded historic net absorption of 61 MSF in 2025, up 25 per cent year-on-year, according to Cushman & Wakefield's full-year 2025 data released in January 2026. Bengaluru's Grade-A occupancy rose to approximately 90.8 per cent by September 2025, according to JLL and bangaloreproperties.com data citing ICRA. Net absorption in Bengaluru for FY2025 was approximately 18.4 MSF. ICRA forecasts Bengaluru's net absorption at 16-16.5 MSF in FY2026 with occupancy rising to 89-89.5 per cent by March 2026.",YES — Bengaluru Q4 2025 GLV 7.6 MSF (CW MarketBeat Jan 2026); India 61 MSF net absorption 2025 (CW),"Cushman & Wakefield MarketBeat January 2026, JLL/ICRA cited in bangaloreproperties.com",Annual Report,Long,"Cushman & Wakefield, Bengaluru, JLL, ICRA, MSF, GLV, Grade-A","ORG, LOCATION, ORG, ORG, METRIC, METRIC, CATEGORY"
