entity_id,entity_name,entity_type,entity_subtype,first_active_year,last_active_year,sector_role,micro_market_primary,notable_data_point,context_usage,verified
E014,Reserve Bank of India (RBI),ORG,Central Bank / Monetary Policy,2020,2026,Monetary Policy / Finance,National,"2020: repo at record low 4%; 2022: 40-bps emergency hike 4 May 2022; cumulative 250-bps tightening cycle ending Feb 2023","Monetary policy directly impacts home loan affordability and housing demand",YES
E015,Prestige Estates Projects,ORG,Developer — Listed,2020,2026,Residential + Commercial Developer,Whitefield; Sarjapur Road; North Bengaluru; Hebbal,"2021: Prestige Serenity Shores — 1,800 units on Sarjapur Road at ₹6,500/sqft; top ANAROCK annual project volumes","Major listed developer; significant project launches and revenue disclosures",YES
E016,Sobha Ltd,ORG,Developer — Listed,2020,2026,Residential Developer,Whitefield; Kanakapura Road; Pan Bengaluru,Active in premium residential in Whitefield and south Bengaluru corridors; Sobha blog cited for market trends 2025,"Listed residential developer; premium quality positioning",YES
E017,Brigade Enterprises,ORG,Developer — Listed,2020,2026,Residential + Commercial Developer,North Bengaluru; Whitefield; Pan Bengaluru,Active in residential and commercial; Brigade mentioned in North Bengaluru and Whitefield launches,"Listed developer with mixed residential/commercial portfolio",YES
E018,Puravankara Ltd,ORG,Developer — Listed,2020,2026,Residential Developer,North Bengaluru; Kanakapura Road; Whitefield,Active in North Bengaluru and affordable-to-mid segment; Puravankara blog cited for TCS Electronic City lease (1.4 MSF),"Listed developer; affordable to mid segment focus",YES
E019,Whitefield,LOCATION,Micro-Market — East Bengaluru,2020,2026,Residential + Commercial Micro-Market,East Bengaluru,"2023: Purple Line fully operational; 12,900 units absorbed; prices up 20% YoY; 2024: Sumadhura Capitol Towers 5L sqft lease; 2025: ₹10,500-15,000/sqft","IT/ITeS and GCC hub; highest residential prices in east Bengaluru",YES
E020,Outer Ring Road (ORR),LOCATION,Commercial Corridor — East-Southeast,2020,2026,Dominant Office Corridor,East-Southeast Bengaluru,"2020-2024: consistently 33-45% of Bengaluru office absorption; 2024: 35% micro-market share of net absorption; Grade-A rents rising 4-4.5% PA","India's most active commercial real estate corridor by absorption volume",YES
E021,Electronic City,LOCATION,Micro-Market — South Bengaluru,2020,2026,IT Residential + Commercial Micro-Market,South Bengaluru,"2024: Yellow Line operational; prices +8-12%; 2025: ₹7,426/sqft avg (Housing.com); TCS 1.4 MSF lease (Puravankara blog)","IT employment anchor (Infosys/Wipro/HCL/TCS); Yellow Line transformed residential appeal",YES
E022,Sarjapur Road,LOCATION,Micro-Market — Southeast Bengaluru,2020,2026,Premium Residential Micro-Market,Southeast Bengaluru,"2021: 18% YoY appreciation; Prestige Serenity Shores 1800 units launched at ₹6,500/sqft; 2025: ₹7,800-11,000/sqft range","WFH-driven 3BHK demand in 2021; BSRP early work future catalyst",YES
E023,North Bengaluru / Devanahalli,LOCATION,Emerging Growth Corridor — North,2020,2026,Residential Investment Corridor,North Bengaluru,"2024: 56% YoY launch growth (ANAROCK); 24,000 units launched; 2025: rental +20-25% expected; STRR operational","Airport proximity + Manyata Tech Park + KIADB Aerospace Park anchor; fastest-growing zone",YES
E024,Kanakapura Road,LOCATION,Micro-Market — South Bengaluru,2020,2026,Transit-Oriented Residential Corridor,South Bengaluru,"2024: Yellow Line operational; ₹5,800-8,500/sqft; 2025-26: ₹7,000-14,000/sqft; rent ₹35,000/month (NoBroker 2026)","Yellow Line metro transformed from affordable to mid-premium investment corridor",YES
E025,Namma Metro Purple Line,ORG/INFRASTRUCTURE,Metro Line — East-West Bengaluru,2020,2026,Transit Infrastructure,"Whitefield; Marathahalli; Indiranagar; Rajajinagar","Fully operational 2023; triggered 20% YoY appreciation in Whitefield; 12,900 residential units absorbed in 2023 corridor","East-west connectivity; most impactful infrastructure for east Bengaluru real estate",YES
E026,Namma Metro Yellow Line,ORG/INFRASTRUCTURE,Metro Line — South Bengaluru,2020,2026,Transit Infrastructure,"Electronic City; Kanakapura Road; Bommasandra; South Bengaluru","Fully operational 10-11 August 2024; 19 km; 16 stations; 8-12% appreciation on corridor; peak frequency 10 min by early 2026","Southern Bengaluru connectivity; Kanakapura Road and Electronic City primary beneficiaries",YES
E027,Global Capability Centres (GCC),SECTOR,Occupier Category,2020,2026,Office Occupier Segment,Pan Bengaluru — ORR and Whitefield dominant,"2020-2023: Bengaluru+Hyderabad = 60% of India GCC take-up; 2024: GCC = 35.9% of India office demand (~28 MSF); 40 new GCC setups in Bengaluru in 2022","Most important structural demand driver for Bengaluru commercial real estate 2020-2026",YES
E028,Bengaluru Suburban Rail Project (BSRP),ORG/INFRASTRUCTURE,Future Infrastructure,2025,2027+,Transit Infrastructure (Future),"Sarjapur Road; Whitefield; Devanahalli; Yelahanka","Early work commenced 2025; 4 corridors planned; completion post-2027 in phases (NoBroker 2026 article)","Long-term future appreciation driver for suburban Bengaluru corridors",YES
E029,Satellite Town Ring Road (STRR),INFRASTRUCTURE,Road Connectivity,2020,2026,Road Infrastructure,North Bengaluru — Tumkur Road; Yelahanka,"Partially operational by early 2026; key stretches open (NoBroker 2026); Tumkur Road corridor +12-18% appreciation","Ring road connectivity boosting satellite town and North Bengaluru integration",YES
E030,PropSoch,ORG,PropTech / Analytics Platform,2020,2026,Residential Analytics,Pan Bengaluru,"Published Bagalur appreciation data: 94% in 5 years per PropSoch; Phase 3 metro corridors; market outlook 2025","Consumer-facing analytics platform; used for micro-level appreciation data and outlook",YES
