year,segment,metric,value,unit,source,notes
2024,Residential,Luxury Segment Share of Launches 2024,24,percent,ANAROCK,"Luxury segment (INR 1.5 – 2.5 Cr) constituted 24% of launches in 2024"
2024,Residential,Bengaluru vs India Annual Sales Comparison,29,percent above 2019,ANAROCK,"Bengaluru 2024 sales 29% higher than 2019 benchmark"
2024,Residential,Bengaluru Q3 2024 Sales (Knight Frank),14604,units,Knight Frank/Business Standard,"Among larger markets Bengaluru Q3 2024 sales grew most at 11% YoY with 14,604 units"
2024,Residential,Bengaluru Price Growth Q3 2024,10,percent YoY,PropSoch,"Bengaluru recorded highest 10% YoY residential price increase in Q3 2024 (PropSoch)"
2024,Commercial,India Top-7 Cities Office Gross Leasing Volume,77.22,msf,JLL,"JLL 2024: India office GLV reached 77.22 MSF across top 7 cities; 22.6% YoY increase; highest ever"
2024,Commercial,India Net Office Absorption,49.56,msf,JLL,"JLL 2024: record net absorption 49.56 MSF; 3-year low vacancy of 16.3%"
2024,Commercial,India Gross Leasing Volume (Cushman),89,msf,Cushman & Wakefield,"CW: India office sector recorded 89 MSF GLV across top 8 cities in 2024; highest ever"
2024,Commercial,India Net Absorption (Cushman),50,msf,Cushman & Wakefield,"CW: net absorption 50 MSF in 2024; surpassing pre-COVID 2019 peak by 7 MSF"
2024,Commercial,Bengaluru Net Absorption (JLL),14.74,msf,JLL,"JLL: Bengaluru 14.74 MSF of leasing; 66% increase from 9.01 MSF in 2023"
2024,Commercial,Bengaluru Net Absorption (Cushman),14.18,msf,Cushman & Wakefield,"CW: Bengaluru 14.18 MSF net absorption; 28% of India total; historic high for city"
2024,Commercial,Bengaluru Share of India GLV (Cushman),29,percent,Cushman & Wakefield,"Bengaluru led India with 25.93 MSF GLV (29% share) followed by Mumbai at 20%"
2024,Commercial,Bengaluru Q4 2024 Gross Leasing (JLL),6.69,msf,JLL,"Bengaluru posted highest-ever Q4 absorption at 6.69 MSF; 36.1% of India Q4 total"
2024,Commercial,Bengaluru Q4 2024 Gross Leasing (Colliers),6.3,msf,Colliers,"Colliers Q3 2024: Bengaluru registered highest-ever leasing in any quarter at 6.3 MSF in Q3; year momentum continued Q4"
2024,Commercial,Bengaluru YoY Net Absorption Growth,63.6,percent,JLL,"JLL: Bengaluru achieved remarkable 63.6% YoY net absorption increase in 2024"
2024,Commercial,GCC Leasing India 2024,25.7,msf,Colliers,"GCC leasing saw 41% YoY increase in 2024 at 25.7 MSF across top 6 cities"
2024,Commercial,GCC Share of India Office Leasing 2024,35.9,percent,JLL,"GCCs captured 35.9% of market with approximately 28 MSF leased (JLL 2024)"
2024,Commercial,Flex Segment YoY Growth,50,percent,JLL,"Flex office segment surged 50% YoY; leasing crossed 15 MSF in 2024"
2024,Commercial,Flex Share of Annual Leasing,19.8,percent,JLL,"Flex spaces accounted for 19.8% of total annual leasing in 2024"
2024,Commercial,Bengaluru Grade-A Stock Total,263,msf,ICRA,"ICRA: Bengaluru's Grade-A office stock ~263 MSF; roughly 27% of total across India's top 6 markets"
2024,Commercial,India Vacancy Rate Year-End,16,percent,JLL/Cushman,"Vacancy dropped to 3-year low ~16% (JLL: 16.3%; CW: ~16% with 1.8-2% drop YoY)"
2025,Residential,Bengaluru H1 2025 Launches,33498,units,Knight Frank,"Knight Frank H1 2025: Bengaluru recorded highest launches in recent history at 33,498 units; 31% YoY rise"
2025,Residential,Bengaluru H1 2025 Sales,26599,units,Knight Frank,"Knight Frank H1 2025: overall sales clocked in at 26,599 units; modest -3% YoY dip"
2025,Residential,Bengaluru Jan-Sep 2025 Sales (PropEquity),49559,units,PropEquity/Business Standard,"PropEquity: Bengaluru residential sales estimated at 49,559 units Jan-Sep 2025 vs 46,392 in same period 2024"
2025,Residential,Bengaluru Q3 2025 Sales Estimate (PropEquity),16840,units,PropEquity/Business Standard,"PropEquity: Bengaluru Q3 2025 sales estimated at 16,840 units; 21% YoY growth"
2025,Residential,Bengaluru Share of India New Launches H1 2025,19,percent,Knight Frank,"Knight Frank H1 2025: Mumbai led at 25%; Bengaluru at 19%; Pune at 15%"
2025,Residential,Bengaluru H1 2025 Launch YoY Growth,31,percent,Knight Frank,"Bengaluru posted strongest YoY launch growth at 31% among all Indian cities (Knight Frank H1 2025)"
2025,Residential,Bengaluru avg price psf Q2 2025,8720,INR per sqft,Casagrand/NoBroker,"Values rose from ~₹4,700/sqft Q2 2020 to ₹8,720/sqft Q2 2025; 79-85% appreciation (Casagrand)"
2025,Residential,Bengaluru Q3 2025 Avg Price psf,8870,INR per sqft,ANAROCK,"ANAROCK Q3 2025 summary: Bengaluru average price ₹8,870/sqft; 10% YoY growth"
2025,Residential,Bengaluru Avg Price YoY Growth 2025,14,percent,Housing.com/Knight Frank,"Bengaluru led all major cities with 14% YoY residential price appreciation in 2025"
2025,Residential,Bengaluru Unsold Inventory Q2 2025,58900,units,ANAROCK/Moneycontrol,"ANAROCK Q2 2025: Bengaluru unsold inventory ~58,900 units; inventory overhang ~12 months"
2025,Residential,India H1 2025 Total Sales,170201,units,Knight Frank,"Knight Frank: 170,201 residential units sold across 8 major cities in H1 2025; -1.75% YoY"
2025,Residential,Premium Segment Share (INR 1-2 Cr) H1 2025,47,percent of sales,Knight Frank,"Homes priced INR 10-20M (1-2 Cr) accounted for 47% of total Bengaluru sales H1 2025"
2025,Residential,Ultra-Premium Segment Share (INR 2-5 Cr) H1 2025,24,percent of sales,Knight Frank,"INR 20-50M category made up 24% of Bengaluru sales H1 2025"
2025,Residential,Mid-Premium Combined Share H1 2025,79,percent,Knight Frank,"INR 1-5 Cr brackets together represent ~79% of all residential sales in Bengaluru H1 2025"
2025,Residential,Luxury Segment Q2 2025 Share of New Supply,56,percent,ANAROCK,"ANAROCK Q2 2025: luxury housing dominated new supply at 56% of total launches in Q2 2025"
2025,Residential,Affordable Segment Launches Q2 2025,0,percent,ANAROCK,"ANAROCK Q2 2025: no launches in affordable segment in Q2 2025"
2025,Residential,Bengaluru 5-Year Price Appreciation 2020-2025,79,percent,Knight Frank/Casagrand,"Over 5 years real estate prices in Bangalore increased by 79%; surpassing growth in Delhi/Mumbai/Kolkata"
2025,Residential,India Avg Price YoY Growth Q3 2025,9,percent,ANAROCK,"ANAROCK pan-India: avg prices rose 9% YoY from ₹8,390/sqft (Q3 2024) to ₹9,105/sqft (Q3 2025)"
2025,Residential,Rental Inflation Bengaluru H1 2025,7-9,percent,NoBroker/Economic Times,"NoBroker: avg rental inflation in Bengaluru H1 2025 stood at 7-9%; down from 20-30% surge in 2023-24"
2025,Residential,Rental Inflation Bengaluru 2023-24 (prior cycle),20-30,percent,NoBroker/Hindustan Times,"Bengaluru witnessed strong surge of 20-30% in rentals during 2023-24 before stabilisation"
2025,Residential,North Bengaluru Rental Appreciation Expected 2025,20-25,percent,Hindustan Times RE Outlook,"Devanahalli/Bagalur/Nelamangala expected rental appreciation 20-25% in 2025 (HT Real Estate Outlook)"
2025,Commercial,India Net Office Absorption 2025,61,msf,Cushman & Wakefield,"CW Jan 2026: India office market records historic net absorption of 61 MSF in 2025; 25% YoY increase"
2025,Commercial,Bengaluru Q4 2025 GLV,7.6,msf,Cushman & Wakefield,"CW: Bengaluru recorded ~7.6 MSF GLV in Q4-25; second-highest quarterly performance ever"
2025,Commercial,Bengaluru Grade-A Occupancy Sep 2025,90.8,percent,JLL/bangaloreproperties.com,"JLL: citywide occupancy rose to ~90.8% by September 2025"
2025,Commercial,Bengaluru FY2025 Grade-A Net Absorption,18.4,msf,JLL/bangaloreproperties.com,"Net absorption was higher at 18.4 MSF in FY2025; grade-A supply ~16.3 MSF added in FY2025"
2025,Commercial,Bengaluru FY2026 Net Absorption Forecast,16-16.5,msf,ICRA,"ICRA: net absorption forecast at 16-16.5 MSF in FY2026; occupancy rising to 89-89.5% by March 2026"
2025,Commercial,India Office Forecast 2026,60-70,msf,Colliers/ICRA,"National forecasts: India office absorption could reach 60-70 MSF in 2026; Bengaluru to retain leadership"
2025,Commercial,GCC Leasing India Forecast 2025,~30,msf,Colliers,"GCC leasing expected close to 30 MSF in 2025; ~40% of total office demand (Colliers)"
2026,Residential,Bengaluru Demand Projection,80,msf,PropSoch/JLL,"Analysts project 80 MSF of residential demand in Bengaluru for 2026 with no bubble risk"
2026,Commercial,Bengaluru Grade-A Stock,263,msf,ICRA,"263 MSF Grade-A stock; 27% of India total; vacancy expected single-digit through FY2027"
